City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Lamu,KE,79.02,light rain,-2.2717,40.902,Lamu House
6,Daru,PG,76.95,moderate rain,-9.0763,143.2092,Daru Lodge
11,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
19,Hirara,JP,82.67,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
23,Hithadhoo,MV,83.57,scattered clouds,-0.6,73.0833,Scoop Guest House
27,Buala,SB,82.33,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
32,Isangel,VU,75.31,few clouds,-19.55,169.2667,Tanna Lodge
34,Banda Aceh,ID,78.21,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
36,Sola,VU,80.2,scattered clouds,-13.8833,167.55,Leumerus Bungalows
38,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Tomatlan,MX,88.34,overcast clouds,19.9333,-105.25,El Salvial
41,Namatanai,PG,81.77,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
43,Sur,OM,89.49,clear sky,22.5667,59.5289,Sur Plaza Hotel
45,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
47,Reidsville,US,79.48,clear sky,36.3549,-79.6645,"Holiday Inn Express & Suites Reidsville, an IHG Hotel"
49,Barra Do Corda,BR,76.82,scattered clouds,-5.5,-45.25,Belchior Palace Hotel
53,Mucurapo,TT,78.03,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
54,Mayo,US,83.35,clear sky,38.8876,-76.5119,Resorts Resource Group International
56,Coahuayana,MX,89.46,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
71,Atuona,PF,78.08,few clouds,-9.8,-139.0333,Villa Enata
81,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
88,Nabire,ID,75.43,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
89,Elizabeth City,US,82.42,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
97,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,hotel la terminal
99,Warud,IN,77.86,overcast clouds,21.4667,78.2667,Ankit sonone
102,Bambanglipuro,ID,75.69,broken clouds,-7.95,110.2833,Puri Brata
109,Jinxiang,CN,75.38,overcast clouds,27.4327,120.6062,Wolong Village
110,Kavieng,PG,81.41,light rain,-2.5744,150.7967,Nusa Island Retreat
111,Samarai,PG,81.12,broken clouds,-10.6167,150.6667,Nuli Sapi
114,Bang Lamung,TH,85.08,overcast clouds,13.047,100.9289,เซอรีน แซนด์ส เฮลท์ รีสอร์ท - Serene Sands Health Resort
119,Zamora,EC,81.64,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
122,Torrington,US,77.52,scattered clouds,41.8007,-73.1212,The Yankee Pedlar Inn
125,Atar,MR,78.58,overcast clouds,20.5169,-13.0499,Oumou Elghoura
126,Boueni,YT,76.98,light rain,-12.9025,45.0761,The feet in water
130,Sompeta,IN,80.83,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
138,Lucea,JM,85.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
142,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
143,Hambantota,LK,79.52,overcast clouds,6.1241,81.1185,Bungalow 63
149,Butaritari,KI,82.8,clear sky,3.0707,172.7902,Isles Sunset Lodge
156,Cedar City,US,76.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
159,Ahuimanu,US,85.71,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
166,Barwadih,IN,80.91,broken clouds,23.8333,84.1167,Forest Rest House
169,Lompoc,US,88.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
174,Honiara,SB,81.03,broken clouds,-9.4333,159.95,Heritage Park Hotel
178,Awbari,LY,88.57,clear sky,26.5921,12.7805,فندق أوباري
186,Dingle,PH,77.32,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
187,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
191,Vieste,IT,76.35,clear sky,41.8825,16.175,Hotel Falcone
192,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
193,Manthani,IN,75.25,heavy intensity rain,18.65,79.6667,"Sri Sai bike Paint,manthani"
194,Sabang,ID,81.55,overcast clouds,5.8933,95.3214,Hotel Citra
196,Matsusaka,JP,75.09,light rain,34.5667,136.5333,Toyoko Inn Ise Matsusaka Station
197,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
200,Ibra,OM,84.54,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
205,Mitsamiouli,KM,77.68,clear sky,-11.3847,43.2844,Foyer ADM
206,Bethel,US,79.02,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
211,Sao Miguel Do Araguaia,BR,78.8,clear sky,-13.275,-50.1628,Hotel Executivo Palace
212,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
223,Freeport,US,82.38,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
224,Tabou,CI,75.97,moderate rain,4.423,-7.3528,hotêl doufoulougou
225,Hohhot,CN,75.49,light rain,40.8106,111.6522,Sheraton Hohhot Hotel
226,Manaus,BR,81.09,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
231,Gigmoto,PH,80.98,moderate rain,13.7796,124.39,Cj's Travellers Inn
236,Balabac,PH,79.9,light rain,7.9868,117.0645,Batalla’s Lodging House
240,Kihei,US,87.82,few clouds,20.785,-156.4656,Maui Sunset
244,Vanimo,PG,78.1,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
246,Bubaque,GW,80.1,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
255,Dhidhdhoo,MV,82.99,overcast clouds,6.8833,73.1,Dhidhoo beach
262,Mamallapuram,IN,78.85,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
263,Celestun,MX,79.5,overcast clouds,20.8667,-90.4,Posada Lilia
265,Terrasini,IT,77.61,clear sky,38.146,13.0844,Florio Park Hotel
270,Alenquer,BR,77.95,overcast clouds,-1.9417,-54.7383,Detinha Hotel
272,Lorengau,PG,81.3,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
274,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
277,Auki,SB,80.53,broken clouds,-8.7676,160.7034,Auki Motel
278,Faanui,PF,80.62,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
285,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
286,Virginia Beach,US,82.02,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
301,Wilmington,US,84.11,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
303,Minab,IR,89.92,broken clouds,27.1467,57.0801,Bam campground
313,Yilan,TW,84.02,overcast clouds,24.757,121.753,Dar Chen Hotel
316,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
324,Tevaitoa,PF,80.44,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
326,Colonial Park,US,81.01,broken clouds,40.3006,-76.8097,Red Roof Inn Harrisburg North
331,Fredericksburg,US,80.55,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
340,Trincomalee,LK,80.67,overcast clouds,8.5711,81.2335,Welcombe Hotel
341,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
343,Baracoa,CU,81.86,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
344,San Juan De Colon,VE,76.59,overcast clouds,8.0313,-72.2605,Hotel San Francisco de Padua C.A
