,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vao,NC,-22.6667,167.4833,70.23,65,99,15.88,overcast clouds
1,Carnarvon,AU,-24.8667,113.6333,65.59,64,0,11.63,clear sky
2,Lamu,KE,-2.2717,40.902,79.02,77,1,18.16,light rain
3,Thompson,CA,55.7435,-97.8558,60.96,88,100,10.36,overcast clouds
4,Kodinsk,RU,58.6881,99.1844,55.44,89,9,2.91,clear sky
5,Ribeira Grande,PT,38.5167,-28.7,64.76,87,57,20.51,broken clouds
6,Daru,PG,-9.0763,143.2092,76.95,90,100,17.78,moderate rain
7,Collie,AU,-33.3667,116.15,54.28,94,88,3.53,overcast clouds
8,Port Hedland,AU,-20.3167,118.5667,59.05,67,0,8.05,clear sky
9,Reitz,ZA,-27.8014,28.4273,44.24,88,0,8.23,clear sky
10,Mahebourg,MU,-20.4081,57.7,70.09,68,75,11.5,broken clouds
11,Avarua,CK,-21.2078,-159.775,82.45,78,75,10.36,broken clouds
12,Mataura,NZ,-46.1927,168.8643,32.49,90,5,2.48,clear sky
13,Upernavik,GL,72.7868,-56.1549,34.07,89,6,11.52,clear sky
14,Bluff,NZ,-46.6,168.3333,32.81,86,5,6.11,clear sky
15,Ponta Do Sol,PT,32.6667,-17.1,66.83,59,53,7.29,broken clouds
16,Hailar,CN,49.2,119.7,62.69,63,3,14.72,clear sky
17,Albany,US,42.6001,-73.9662,79.63,36,51,1.01,broken clouds
18,Ushuaia,AR,-54.8,-68.3,31.66,80,75,21.85,light snow
19,Hirara,JP,24.8,125.2833,82.67,89,40,10.36,scattered clouds
20,Ketchikan,US,55.3422,-131.6461,55.87,76,75,13.8,broken clouds
21,Busselton,AU,-33.65,115.3333,60.94,73,100,8.41,overcast clouds
22,Leshukonskoye,RU,64.8989,45.7622,45.14,98,100,6.22,overcast clouds
23,Hithadhoo,MV,-0.6,73.0833,83.57,71,33,11.45,scattered clouds
24,Port Hueneme,US,34.1478,-119.1951,100.51,38,0,14.97,clear sky
25,Maungatapere,NZ,-35.75,174.2,49.8,85,100,7.52,overcast clouds
26,Alyangula,AU,-13.8483,136.4192,73.15,79,99,12.3,overcast clouds
27,Buala,SB,-8.145,159.5921,82.33,74,86,3.27,overcast clouds
28,Almaznyy,RU,48.0448,40.045,67.24,58,0,4.29,clear sky
29,Songjianghe,CN,42.1859,127.479,65.3,84,100,4.99,overcast clouds
30,Lebu,CL,-37.6167,-73.65,48.81,88,100,11.74,overcast clouds
31,East London,ZA,-33.0153,27.9116,62.19,83,16,12.88,few clouds
32,Isangel,VU,-19.55,169.2667,75.31,73,20,4.61,few clouds
33,Port Alfred,ZA,-33.5906,26.891,61.18,87,42,1.99,scattered clouds
34,Banda Aceh,ID,5.5577,95.3222,78.21,86,98,10.29,moderate rain
35,New Norfolk,AU,-42.7826,147.0587,51.3,84,100,2.17,light rain
36,Sola,VU,-13.8833,167.55,80.2,74,27,12.82,scattered clouds
37,Provideniya,RU,64.3833,-173.3,39.36,100,100,8.99,fog
38,Kapaa,US,22.0752,-159.319,82.38,78,100,12.66,overcast clouds
39,Tomatlan,MX,19.9333,-105.25,88.34,57,96,9.33,overcast clouds
40,Komatipoort,ZA,-25.4332,31.9548,63.23,84,98,4.34,overcast clouds
41,Namatanai,PG,-3.6667,152.4333,81.77,70,75,5.86,broken clouds
42,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,83,0,14.97,clear sky
43,Sur,OM,22.5667,59.5289,89.49,56,0,10.4,clear sky
44,Bredasdorp,ZA,-34.5322,20.0403,52.16,90,17,3.67,few clouds
45,Vaini,TO,-21.2,-175.2,80.76,83,20,12.66,few clouds
46,Beringovskiy,RU,63.05,179.3167,49.15,72,30,14.47,scattered clouds
47,Reidsville,US,36.3549,-79.6645,79.48,33,0,0.0,clear sky
48,Dikson,RU,73.5069,80.5464,35.01,99,95,5.21,overcast clouds
49,Barra Do Corda,BR,-5.5,-45.25,76.82,70,35,3.71,scattered clouds
50,Kaitangata,NZ,-46.2817,169.8464,39.27,91,35,3.09,scattered clouds
51,Cherskiy,RU,68.75,161.3,37.04,90,100,15.93,overcast clouds
52,Abapo,BO,-18.8333,-63.4667,72.79,51,9,8.63,clear sky
53,Mucurapo,TT,10.6667,-61.5333,78.03,91,100,9.55,overcast clouds
54,Mayo,US,38.8876,-76.5119,83.35,39,0,9.22,clear sky
55,Rutland,US,43.6167,-73.0162,73.8,37,0,5.75,clear sky
56,Coahuayana,MX,18.7333,-103.6833,89.46,57,94,7.14,overcast clouds
57,Punta Arenas,CL,-53.15,-70.9167,30.31,74,20,5.75,few clouds
58,Rikitea,PF,-23.1203,-134.9692,70.52,59,85,11.88,overcast clouds
59,Torbay,CA,47.6666,-52.7314,57.97,92,100,9.22,overcast clouds
60,Katherine,AU,-14.4667,132.2667,62.92,82,98,6.91,overcast clouds
61,Barrow,US,71.2906,-156.7887,64.42,55,0,12.66,clear sky
62,Sitka,US,57.0531,-135.33,55.29,82,100,5.75,overcast clouds
63,Russell,US,32.3502,-85.1999,94.96,23,43,3.85,scattered clouds
64,Wells,GB,51.2079,-2.649,61.2,77,7,3.09,clear sky
65,Lagoa,PT,39.05,-27.9833,64.53,85,85,18.75,overcast clouds
66,Esil,KZ,51.9556,66.4042,63.5,70,22,8.5,few clouds
67,Tasiilaq,GL,65.6145,-37.6368,41.16,67,94,1.77,overcast clouds
68,Ilhabela,BR,-23.7781,-45.3581,66.56,91,59,2.42,broken clouds
69,Saskylakh,RU,71.9167,114.0833,56.12,47,99,3.8,overcast clouds
70,Korla,CN,41.7597,86.1469,72.32,35,81,7.09,broken clouds
71,Atuona,PF,-9.8,-139.0333,78.08,80,12,24.18,few clouds
72,Svetlaya,RU,46.5389,138.3297,53.64,92,100,2.57,overcast clouds
73,Vrede,ZA,-27.4257,29.1659,43.07,95,1,6.33,clear sky
74,Mackenzie,CA,55.2999,-123.1698,68.22,45,75,9.22,broken clouds
75,Tiksi,RU,71.6872,128.8694,39.31,60,98,4.7,overcast clouds
76,Hals,DK,56.9961,10.3081,55.36,83,12,9.06,few clouds
77,Fortuna,US,40.5982,-124.1573,73.85,61,0,4.0,clear sky
78,Moron,AR,-34.6534,-58.6198,54.0,66,100,4.65,overcast clouds
79,Lata,PT,40.1629,-8.3327,56.91,95,24,1.07,few clouds
80,Nelson,NZ,-41.2833,173.2833,39.29,89,45,1.99,scattered clouds
81,Puerto Ayora,EC,-0.7393,-90.3518,75.16,97,61,8.01,broken clouds
82,Nikolskoye,RU,59.7035,30.7861,53.8,86,99,3.4,overcast clouds
83,Kahului,US,20.8947,-156.47,87.82,45,20,24.16,few clouds
84,Pisco,PE,-13.7,-76.2167,66.25,68,0,13.8,clear sky
85,Quatre Cocos,MU,-20.2078,57.7625,69.91,59,58,16.31,broken clouds
86,Half Moon Bay,US,37.4636,-122.4286,92.05,38,0,21.85,clear sky
87,Yellowknife,CA,62.456,-114.3525,72.12,24,20,6.91,few clouds
88,Nabire,ID,-3.3667,135.4833,75.43,88,46,2.44,scattered clouds
89,Elizabeth City,US,36.2946,-76.2511,82.42,48,0,8.05,clear sky
90,Hermanus,ZA,-34.4187,19.2345,54.81,86,7,9.19,clear sky
91,Tanabe,JP,33.7333,135.3667,73.92,90,100,3.09,moderate rain
92,Severo-Kurilsk,RU,50.6789,156.125,48.15,92,100,10.54,overcast clouds
